Sample	Organic	P_ppm	K_ppm	Mg_ppm	Ca_ppm	pH	CEC	%N	H2O
C1	2.6	43	168	95	550	5.1	7.6	0.126	17.0736684
C2	2.9	49	207	95	550	5.1	7.7	0.139	19.17263081
C3	3.2	60	173	100	700	5.6	7.2	0.15	17.03651364
C4	3.3	75	216	105	700	5.4	8.5	0.18	18.3055502
C5	2.9	86	199	105	750	5.4	8.7	0.153	15.74587857
C6	2.9	94	180	80	550	5.1	7.5	0.145	16.84780413
C7	2.6	86	126	60	500	4.8	8.1	0.133	18.43504269
C8	2.7	113	215	70	600	5.3	7.7	0.141	17.52015651
C9	2.9	84	220	80	450	5.1	7.1	0.143	18.4730743
C10	2.4	76	156	70	550	5	7.3	0.127	18.21176284
F1	4	14	141	200	1050	6.2	8.5	0.179	23.80083195
F2	8.5	31	139	220	1500	6.2	12.1	0.305	25.06966551
F3	4.3	51	124	125	750	5.3	8.7	0.187	21.21857566
F4	7.4	33	181	190	1750	6.5	12	0.287	26.76212741
F5	6.2	20	150	205	1550	6.4	11	0.279	24.84214074
F6	6.1	52	168	185	1450	5.8	12.8	0.228	26.19936883
F7	5.8	21	111	170	1500	6	11.6	0.258	19.06606349
F8	3.4	16	88	105	700	5.3	8.2	0.162	24.19790924
F9	3.8	15	93	110	600	5.1	7.8	0.191	21.37590057
F10	4.5	32	113	145	800	5.4	9.1	0.214	17.57894638
