Sample	Plot	Till	Time	H2O
1	C	Y	Pre	17.0736684
10	C	Y	Pre	18.21176284
2	C	N	Pre	19.17263081
3	C	N	Pre	17.03651364
4	C	N	Pre	18.3055502
5	C	N	Pre	15.74587857
6	C	Y	Pre	16.84780413
7	C	Y	Pre	18.43504269
8	C	Y	Pre	17.52015651
9	C	N	Pre	18.4730743
1	C	Y	Post 1	15.75374554
10	C	Y	Post 1	17.64797919
2	C	N	Post 1	16.02500756
3	C	N	Post 1	17.25139446
4	C	N	Post 1	7.154632377
5	C	N	Post 1	15.00028964
6	C	Y	Post 1	15.19513022
7	C	Y	Post 1	15.93309859
8	C	Y	Post 1	16.82585837
9	C	N	Post 1	18.19419647
1	C	Y	Post 2	13.91240787
10	C	Y	Post 2	15.40250555
2	C	N	Post 2	15.05504473
3	C	N	Post 2	14.60225871
4	C	N	Post 2	16.34615385
5	C	N	Post 2	11.52533697
6	C	Y	Post 2	13.66952161
7	C	Y	Post 2	14.89407678
8	C	Y	Post 2	15.63123228
9	C	N	Post 2	15.409258
1	F	Y	Pre	23.80083195
10	F	N	Pre	17.57894638
2	F	N	Pre	25.06966551
3	F	N	Pre	21.21857566
4	F	Y	Pre	26.76212741
5	F	N	Pre	24.84214074
6	F	Y	Pre	26.19936883
7	F	N	Pre	19.06606349
8	F	Y	Pre	24.19790924
9	F	Y	Pre	21.37590057
1	F	Y	Post 1	19.7728146
10	F	N	Post 1	21.69775409
2	F	N	Post 1	25.43960109
3	F	N	Post 1	19.54195142
4	F	Y	Post 1	23.14005952
5	F	N	Post 1	25.01411992
6	F	Y	Post 1	28.15283839
7	F	N	Post 1	17.99053873
8	F	Y	Post 1	23.02469934
9	F	Y	Post 1	18.74636689
1	F	Y	Post 2	17.82229301
10	F	N	Post 2	13.0506243
2	F	N	Post 2	19.41657296
3	F	N	Post 2	17.04321831
4	F	Y	Post 2	21.77671068
5	F	N	Post 2	17.12867671
6	F	Y	Post 2	25.14926155
7	F	N	Post 2	17.09919454
8	F	Y	Post 2	19.94388153
9	F	Y	Post 2	14.6206033
