Name,Year,Crop,Till,FarmName,FieldName,Crop,Till,Number,Norm16sCopies,Cpph,Pppm,Kppm,Mgppm,Cappm,SoilpH,CEC,Kpph,Mgpph,Npph,H2Opph
2012-1,2012,Corn,No,Jordan,Jordan-Airport-corn-1,corn,No,1,130197235.9,2.9,17,162,185,1200,5.1,14,3,11,0.158,5.5725186
2012-2,2012,Soy,No,Jordan,Jordan-Wally Field South-soy-2,Soy,No,2,330736070.7,3.4,12,237,340,1750,7,5,23.2,71.8,0.179,11.9562412
2012-3,2012,Corn,No,Jordan,Jordan-Kuhlman North-corn-3,corn,No,3,336391421.4,3.7,54,326,195,1550,5.7,13.8,6.1,11.8,0.2,6.3366131
2012-4,2012,Soy,No,Jordan,Jordan-Jenkins Big-soy-4,Soy,No,4,356926833.1,2.8,22,229,245,1300,6.4,10.3,5.7,19.8,0.159,7.7266606
2012-5,2012,Corn,No,Routson,Routson-3-corn-5,Corn,No,5,316920202.9,3.3,69,200,190,1000,5.8,9.5,5.4,16.7,0.186,3.5662259
2012-6,2012,Soy,No,Routson,Routson-2-soy-6,Soy,No,6,414032324.3,3.3,32,165,355,1350,6.7,11.3,3.7,26.1,0.166,8.480402
2012-7,2012,Corn,No,Routson,Routson-16-17-corn-7,corn,No,7,188330530.1,3.1,59,302,280,1200,6.1,11.5,6.7,20.3,0.177,5.6287934
2012-8,2012,Soy,No,Routson,Routson-14-15-soy-8,Soy,No,8,307842395.2,3.3,50,188,295,1100,6.5,9.6,5,25.5,0.162,4.4943711
2012-9,2012,Corn,No,Berger,Berger-Corn-9,Corn,No,9,373167929.6,4.1,40,120,495,1750,6.5,14.4,2.1,28.7,0.271,9.8292424
2012-10,2012,Soy,No,Berger,Berger-soy-10,Soy,No,10,373730767.4,4.8,42,123,425,1750,7.2,2.5,28.1,69.4,0.25,7.1665437
2012-11,2012,Corn,Yes,Cail,Cail-Corn-11,Corn,Yes,11,427927631,3,33,123,470,1700,7,2.5,30.8,66.8,0.155,5.6386842
2012-12,2012,Soy,Yes,Cail,Cail-Soy-12,Soy,Yes,12,391769155.9,2.8,81,184,195,850,5.6,9.9,4.7,16.3,0.138,9.4100935
2012-13,2012,Corn,Yes,Nocton,Nocton-Corn-13,Corn,Yes,13,228367049.6,2.5,52,286,215,1200,6.3,9.7,7.5,18.4,0.185,3.5238058
2012-14,2012,Soy,Yes,Nocton,Nocton-Soy-14,Soy,Yes,14,289356631.6,3.5,111,300,195,1050,5.3,12.4,6.2,13.1,0.153,5.3547303
2012-15,2012,Corn,Yes,Franks,Franks-Corn-15,Corn,Yes,15,88682633.75,2.4,29,120,165,900,5.4,9.8,3.1,14.1,0.152,0.8725233
2012-16,2012,Soy,Yes,Franks,Franks-soy-16,soy,Yes,16,172862032.4,3.2,51,199,320,1350,6,12.3,4.1,21.6,0.143,5.1399491
2012-17,2012,Corn,Yes,Toschlog,Toschlog-CE-Corn-17,Corn,Yes,17,295132141.8,2.9,43,173,355,1000,5.9,10.8,4.1,27.4,0.15,3.7093393
2012-18,2012,Soy,Yes,Toschlog,Toschlog-SE-soy-18,soy,Yes,18,282408187.2,3.5,42,329,250,1200,5.9,12.5,6.7,16.6,0.122,7.8911984
2012-19,2012,Corn,Yes,Toschlog,Toschlog-CW-Corn-19,Corn,Yes,19,383586085.5,3,43,154,270,1300,6.1,11.5,3.4,19.5,0.157,4.558612
2012-20,2012,Soy,Yes,Toschlog,Toschlog-SW-soy-20,Soy,Yes,20,304675191.2,2.8,17,123,230,900,5.6,10.3,3.1,18.6,0.113,4.0373431
2013-1,2013,Soy,No,Jordan,Jordan-Airport-soy-1,Soy,No,1,101497094.4,3.1,28,176,140,1200,6.3,8.8,5.1,13.2,0.188,16.4365495
2013-2,2013,Corn,No,Jordan,Jordan-Wally Field South-corn-2,corn,No,2,150444087,3.6,18,235,255,1650,7.3,5.5,19.4,75.2,0.219,16.2443116
2013-3,2013,Soy,No,Jordan,Jordan-Kuhlman North-soy-3,Soy,No,3,160791814.3,4,24,236,170,1500,6.5,10.7,5.6,13.2,0.218,15.7461355
2013-5,2013,Soy,No,Routson,Routson-3-soy-5,Soy,No,5,104518857.6,2.9,43,249,120,800,5.2,10.4,6.1,9.6,0.198,15.8842771
2013-6,2013,Corn,No,Routson,Routson-2-corn-6,corn,No,6,115814433.6,3.7,35,208,255,1000,5.6,11.3,4.7,18.9,0.253,14.3466351
2013-7,2013,Soy,No,Routson,Routson-16-17-soy-7,Soy,No,7,7624117.798,3.7,47,208,325,1200,6.5,10.4,5.1,25.9,0.22,15.4219618
2013-8,2013,Corn,No,Routson,Routson-14-15-corn-8,Corn,No,8,186290307.6,2.7,43,169,260,950,6.4,8.6,5.1,25.3,0.195,15.9363306
2013-9,2013,Soy,No,Berger,Berger-soy-9,Soy,No,9,277109720.6,7.7,192,234,565,2150,6.9,3.7,28.9,65.9,0.476,20.2688728
2013-11,2013,Soy,Yes,Cail,Cail-soy-11,Soy,Yes,11,127779815.1,3.6,42,122,460,1700,7.2,2.5,30.3,67.2,0.221,14.5622341
2013-12,2013,Corn,Yes,Cail,Cail-corn-12,Corn,Yes,12,239070698.4,2.9,125,251,210,900,5.7,10.5,6.1,16.7,0.18,13.351541
2013-13,2013,Corn,Yes,Nocton,Nocton-corn-13,Corn,Yes,13,134170722.9,2.9,82,283,245,1000,5.6,11.4,6.4,18,0.186,11.7078528
2013-14,2013,Corn,Yes,Nocton,Nocton-corn-14,Corn,Yes,14,114795274.2,3.5,110,258,245,1300,6.4,10.4,6.4,19.6,0.211,12.7962467
2013-15,2013,Soy,Yes,Franks,Franks-soy-15,soy,Yes,15,76285961.02,2.6,29,175,145,1350,7,5.3,14.4,80.3,0.171,12.3609748
2013-16,2013,Corn,Yes,Franks,Franks-corn-16,Corn,Yes,16,11408078.93,2.8,29,118,265,1150,6.1,10.7,2.8,20.7,0.161,12.7120856
2013-17,2013,Soy,Yes,Toschlog,Toschlog-CE-soy-17,soy,Yes,17,160250115.1,3.2,29,174,395,1000,6.7,9.9,4.5,33.1,0.185,14.6990156
2013-18,2013,Corn,Yes,Toschlog,Toschlog-SE-corn-18,Corn,Yes,18,134139137,2.9,40,220,235,1200,5.6,12.1,4.7,16.2,0.172,14.9427693
2013-19,2013,Soy,Yes,Toschlog,Toschlog-CW-soy-19,Soy,Yes,19,136537965.1,2.6,35,116,275,1200,7,3.5,26.7,69.9,0.16,19.2475233
