"mgm4552597.3" "mgm4552598.3" "mgm4552599.3" "mgm4552600.3" "mgm4552601.3" "mgm4552602.3" "mgm4552603.3" "mgm4552604.3" "mgm4552605.3" "mgm4552606.3" "mgm4552607.3" "mgm4552608.3" "mgm4552609.3" "mgm4552610.3" "mgm4552611.3" "mgm4552612.3" "mgm4552613.3" "mgm4552614.3" "mgm4552615.3" "mgm4552616.3" "mgm4552617.3" "mgm4552618.3" "mgm4552619.3" "mgm4552620.3" "mgm4552621.3" "mgm4552622.3" "mgm4552623.3" "mgm4552624.3" "mgm4552625.3" "mgm4552626.3" "mgm4552627.3" "mgm4552628.3" "mgm4552629.3" "mgm4552630.3" "mgm4552631.3" "mgm4552632.3" "mgm4552633.3" "mgm4552634.3" "mgm4552635.3" "mgm4552636.3"
"Sugar alcohols" 15422 15055 35883 37565 17946 17272 22089 12526 23 33340 34541 14901 29216 27716 14882 14505 34705 18609 24140 16011 100784 172289 154866 175591 228526 182444 162256 348140 165925 374052 317445 327488 209582 330107 128752 144322 138135 97692 113752 142974
"Plant-Prokaryote DOE project" 173499 165377 426026 452546 225386 200029 255459 146347 425 385812 436856 178257 354697 326552 179700 166246 393031 213790 287183 189963 365 828 666 680 846 671 652 1605 732 1477 1219 1629 758 1178 451 625 628 385 424 531
"Protein biosynthesis" 121078 111828 286461 314498 160936 133964 172721 99946 318 265103 305241 121708 249768 225439 124078 115640 271016 150729 202329 132548 12967 21519 18017 19604 24958 20986 18635 41670 19994 42079 38121 39497 25586 38660 15043 16233 16311 11534 13229 17649
"Electron donating reactions" 45249 42286 106156 112954 57441 52745 64116 37543 96 98231 111569 46999 87125 84557 46049 44332 105623 56580 74961 50105 146998 252652 219069 245831 323070 263258 230207 507318 244411 540420 457126 507541 310073 469988 182705 205854 197957 141721 162186 201783
"CO2 fixation" 34935 32658 80087 86006 43219 37654 48423 28402 127 74533 84437 34129 68676 63959 34822 32437 79637 42762 56672 37956 37712 61025 53471 60324 81161 65142 58439 126087 60770 132270 112517 132265 84428 112505 46616 53531 50440 35837 41594 52578
"Cell Division" 11952 11326 27825 30716 15369 13196 16842 9578 20 26046 28944 11941 24411 21823 12335 11407 26103 14414 19561 13006 28848 48312 42037 48041 62046 50417 44482 96962 47997 101740 88718 98349 61877 91014 35612 39786 37989 27945 31671 41840
"Arginine; urea cycle, polyamines" 32939 30904 76440 82754 40467 35619 46394 26250 64 72145 77969 31431 68015 60817 33317 30428 75270 40761 54519 36073 10017 16437 14923 16809 21671 17748 15763 33701 16180 36309 31162 32536 20946 32257 12694 14102 13155 9647 10991 14192
"DNA repair" 52046 50428 128471 137944 68194 58693 76597 44110 130 115885 128684 52962 106891 98553 53758 49489 116467 63066 85505 57212 50666 86455 75949 85539 109641 89226 78032 175360 81723 181140 157198 170461 107503 159159 62176 70559 68935 48798 56055 71732
"DNA replication" 49051 47107 120040 131085 65173 54903 72412 41626 136 109381 123799 50165 102070 93402 50437 47270 110450 60691 82193 54211 4904 8372 7189 8001 10351 8454 7661 17068 8181 18207 14848 16342 9815 15312 5985 6647 6611 4689 5340 6865
"Lysine, threonine, methionine, and cysteine" 75301 71974 181720 195044 99244 86699 109566 63711 194 166773 188457 77299 153839 142773 78228 73714 173368 93683 126392 82565 55041 90333 79457 91526 117353 95839 84750 184098 88600 195588 166400 184177 118977 172805 68549 76766 73402 53119 61347 78699
