AvgSpotLen	BioSample	DATASTORE_provider	DATASTORE_region	Experiment	Instrument	Library_Name	LoadDate	MBases	MBytes	ReleaseDate	Run	SRA_Sample	Sample_Name	age	collection_date	development_stage	geographic_location	isolate	label	phenotype	strain	tissue	Assay_Type	BioProject	Center_Name	Consent	DATASTORE_filetype	InsertSize	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	SRA_Study	sex
76	SAMN02568941	sra-sos	sra-sos.public	SRX423174	Illumina Genome Analyzer IIx	K14	2015-09-14	1771	1220	2015-07-22	SRR1103950	SRS527171	K14	2 weeks post eclosion	January 2009	adult	Rabai, Kenya	K14	K14	human-preferring	mixed	antennae	RNA-Seq	PRJNA233429	THE ROCKEFELLER UNIVERSITY	public	sra	0	SINGLE	PolyA	TRANSCRIPTOMIC	Aedes aegypti	ILLUMINA	SRP035216	female
101	SAMN02568941	ncbi		SRX423182	Illumina HiSeq 2000	K14	2015-12-23	7575	4176	2015-07-22	SRR1103952	SRS527171	K14	2 weeks post eclosion	January 2009	adult	Rabai, Kenya	K14	K14	human-preferring	mixed	antennae	RNA-Seq	PRJNA233429	THE ROCKEFELLER UNIVERSITY	public	sra	0	SINGLE	PolyA	TRANSCRIPTOMIC	Aedes aegypti	ILLUMINA	SRP035216	female
76	SAMN02568942	ncbi		SRX423175	Illumina Genome Analyzer IIx	K18	2015-12-22	1956	1022	2015-07-22	SRR1103953	SRS527172	K18	2 weeks post eclosion	January 2009	adult	Rabai, Kenya	K18	K18	guinea pig-preferring	forest	antennae	RNA-Seq	PRJNA233429	THE ROCKEFELLER UNIVERSITY	public	sra	0	SINGLE	PolyA	TRANSCRIPTOMIC	Aedes aegypti	ILLUMINA	SRP035216	female
101	SAMN02568942	ncbi		SRX423183	Illumina HiSeq 2000	K18	2015-12-23	7242	4149	2015-07-22	SRR1103954	SRS527172	K18	2 weeks post eclosion	January 2009	adult	Rabai, Kenya	K18	K18	guinea pig-preferring	forest	antennae	RNA-Seq	PRJNA233429	THE ROCKEFELLER UNIVERSITY	public	sra	0	SINGLE	PolyA	TRANSCRIPTOMIC	Aedes aegypti	ILLUMINA	SRP035216	female
76	SAMN02568943	ncbi		SRX423176	Illumina Genome Analyzer IIx	K19	2015-12-22	1275	874	2015-07-22	SRR1103955	SRS527173	K19	2 weeks post eclosion	January 2009	adult	Rabai, Kenya	K19	K19	guinea pig-preferring	forest	antennae	RNA-Seq	PRJNA233429	THE ROCKEFELLER UNIVERSITY	public	sra	0	SINGLE	PolyA	TRANSCRIPTOMIC	Aedes aegypti	ILLUMINA	SRP035216	female
101	SAMN02568943	ncbi		SRX423184	Illumina HiSeq 2000	K19	2015-12-23	6874	3925	2015-07-22	SRR1103956	SRS527173	K19	2 weeks post eclosion	January 2009	adult	Rabai, Kenya	K19	K19	guinea pig-preferring	forest	antennae	RNA-Seq	PRJNA233429	THE ROCKEFELLER UNIVERSITY	public	sra	0	SINGLE	PolyA	TRANSCRIPTOMIC	Aedes aegypti	ILLUMINA	SRP035216	female
76	SAMN02568944	ncbi		SRX423177	Illumina Genome Analyzer IIx	K27	2015-12-22	1678	1145	2015-07-22	SRR1103957	SRS527174	K27	2 weeks post eclosion	January 2009	adult	Rabai, Kenya	K27	K27	guinea pig-preferring	forest	antennae	RNA-Seq	PRJNA233429	THE ROCKEFELLER UNIVERSITY	public	sra	0	SINGLE	PolyA	TRANSCRIPTOMIC	Aedes aegypti	ILLUMINA	SRP035216	female
107	SAMN02568944	ncbi		SRX423185	Illumina HiSeq 2000	K27	2015-12-23	8379	4860	2015-07-22	SRR1103958	SRS527174	K27	2 weeks post eclosion	January 2009	adult	Rabai, Kenya	K27	K27	guinea pig-preferring	forest	antennae	RNA-Seq	PRJNA233429	THE ROCKEFELLER UNIVERSITY	public	sra	0	SINGLE	PolyA	TRANSCRIPTOMIC	Aedes aegypti	ILLUMINA	SRP035216	female
76	SAMN02568939	ncbi		SRX423172	Illumina Genome Analyzer IIx	K2	2015-12-22	1528	1030	2015-07-22	SRR1103959	SRS527169	K2	2 weeks post eclosion	January 2009			K2	K2	human-preferring	domestic		RNA-Seq	PRJNA233429	THE ROCKEFELLER UNIVERSITY	public	sra	0	SINGLE	PolyA	TRANSCRIPTOMIC	Aedes aegypti	ILLUMINA	SRP035216	female
107	SAMN02568939	ncbi		SRX423180	Illumina HiSeq 2000	K2	2015-12-23	7204	4147	2015-07-22	SRR1103960	SRS527169	K2	2 weeks post eclosion	January 2009			K2	K2	human-preferring	domestic		RNA-Seq	PRJNA233429	THE ROCKEFELLER UNIVERSITY	public	sra	0	SINGLE	PolyA	TRANSCRIPTOMIC	Aedes aegypti	ILLUMINA	SRP035216	female
